dataset_id,gse,modality,notebook_source,path_reference,priority,notes
GSE123813_bccHmCancer,GSE123813,scRNA,supplement,../../Downloads/CancerDatasets/GSE123813_bccHmCancer.h5ad,2,"Skin; Human; Basal cell carcinoma, PD-1 blockade (Yost et al.)"
GSE123813_sccHmCancer,GSE123813,scRNA,supplement,../../Downloads/CancerDatasets/GSE123813_sccHmCancer.h5ad,2,"Skin; Human; Squamous cell carcinoma, PD-1 blockade (Yost et al.)"
GSE123902_LungAdreHmCancer,GSE123902,scRNA,supplement,../../Downloads/CancerDatasets/GSE123902_LungAdreHmCancer.h5ad,2,Lung; Human; Lung adenocarcinoma primary tumors & metastases (Laughney et al.)
GSE132509_acutelymluekPBMCHmCancer,GSE132509,scRNA,supplement,../../Downloads/CancerDatasets/GSE132509_acutelymluekPBMCHmCancer.h5ad,2,Blood; Human; Childhood acute lymphoblastic leukemia (Caron et al.)
GSE143423_lbm_CancerBrainHm,GSE143423,scRNA,supplement,../../Downloads/CancerDatasets/GSE143423_lbm_CancerBrainHm.h5ad,2,Brain; Human; Lung cancer brain metastasis (Wang et al.)
GSE143423_tnbc_CancerBrainHm,GSE143423,scRNA,supplement,../../Downloads/CancerDatasets/GSE143423_tnbc_CancerBrainHm.h5ad,2,Brain; Human; Triple-negative breast cancer brain metastasis (Wang et al.)
GSE148218_bmALLHmCancer,GSE148218,scRNA,supplement,../../Downloads/CancerDatasets/GSE148218_bmALLHmCancer.h5ad,2,Bone marrow; Human; B-cell acute lymphoblastic leukemia (Mehtonen et al.)
GSE155109_bcECHmCancer,GSE155109,scRNA,supplement,../../Downloads/CancerDatasets/GSE155109_bcECHmCancer.h5ad,2,Breast; Human; Breast cancer endothelial cells (Geldhof et al.)
GSE155109_bcStromaHmCancer,GSE155109,scRNA,supplement,../../Downloads/CancerDatasets/GSE155109_bcStromaHmCancer.h5ad,2,Breast; Human; Breast cancer stromal cells (Geldhof et al.)
GSE183904_GastricHmCancer,GSE183904,scRNA,supplement,../../Downloads/CancerDatasets/GSE183904_GastricHmCancer.h5ad,2,Stomach; Human; Gastric cancer atlas (Kumar et al.)
GSE222002_TcellsHmCancer,GSE222002,scRNA,supplement,../../Downloads/CancerDatasets/GSE222002_TcellsHmCancer.h5ad,2,Blood; Human; Tumor-infiltrating T cells (Chen & Li)
GSE222369_NKsLymphomaHmCancer,GSE222369,scRNA,supplement,../../Downloads/CancerDatasets/GSE222369_NKsLymphomaHmCancer.h5ad,2,Blood; Human; NK cells in non-Hodgkin lymphoma (Cichocki & Day)
GSE225600_breast_CancerHm,GSE225600,scRNA,supplement,../../Downloads/CancerDatasets/GSE225600_breast_CancerHm.h5ad,2,Breast; Human; Breast cancer primary & metastatic LN (Liu et al.)
GSE235787_bcellsALLHmCancer,GSE235787,scRNA,supplement,../../Downloads/CancerDatasets/GSE235787_bcellsALLHmCancer.h5ad,2,Blood; Human; B-cell ALL network pharmacology (Yang et al.)
GSE262288_breastMetasisHmCancer,GSE262288,scRNA,supplement,../../Downloads/CancerDatasets/GSE262288_breastMetasisHmCancer.h5ad,2,Breast; Human; Breast cancer metastasis CDK4/6 inhibition (Li & Luo)
GSE98638_TcellLiverHmCancer,GSE98638,scRNA,supplement,../../Downloads/CancerDatasets/GSE98638_TcellLiverHmCancer.h5ad,2,Liver; Human; T cells in hepatocellular carcinoma (Zheng et al.)
GSE117988_MCCPBMCCancer,GSE117988,scRNA,supplement,../../Downloads/CancerDatasets/GSE117988_MCCPBMCCancer.h5ad,2,Blood; Human; Merkel cell carcinoma PBMC (Paulson & Chapuis)
GSE117988_MCCTumorCancer,GSE117988,scRNA,supplement,../../Downloads/CancerDatasets/GSE117988_MCCTumorCancer.h5ad,2,Skin; Human; Merkel cell carcinoma tumor (Paulson & Chapuis)
GSE124310_MMHmCancer,GSE124310,scRNA,supplement,../../Downloads/CancerDatasets/GSE124310_MMHmCancer.h5ad,2,Blood; Human; Multiple myeloma immune microenvironment (Ghobrial & Getz)
GSE138709_LiverCancer,GSE138709,scRNA,supplement,../../Downloads/CancerDatasets/GSE138709_LiverCancer.h5ad,2,Liver; Human; Intrahepatic cholangiocarcinoma (Zhang et al.)
GSE149655_CAHmCancer,GSE149655,scRNA,supplement,../../Downloads/CancerDatasets/GSE149655_CAHmCancer.h5ad,2,Lung; Human; Early-stage lung adenocarcinoma KRAS (Yanagawa et al.)
GSE163558_stomachHmCancer,GSE163558,scRNA,supplement,../../Downloads/CancerDatasets/GSE163558_stomachHmCancer.h5ad,2,Stomach; Human; Primary & metastatic gastric cancer (Jiang et al.)
GSE168181_BreastHmCancer,GSE168181,scRNA,supplement,../../Downloads/CancerDatasets/GSE168181_BreastHmCancer.h5ad,2,Breast; Human; Breast cancer lymph node metastasis (Lei et al.)
GSE189357_lungAdreHmCancer,GSE189357,scRNA,supplement,../../Downloads/CancerDatasets/GSE189357_lungAdreHmCancer.h5ad,2,Lung; Human; Lung adenocarcinoma AIS to invasive (Jiang et al.)
GSE225857_liverColonMetasisHmCancer,GSE225857,scRNA,supplement,../../Downloads/CancerDatasets/GSE225857_liverColonMetasisHmCancer.h5ad,2,Liver; Human; Liver metastatic colorectal cancer (Wang & Long)
GSE228499_breastHmCancer,GSE228499,scRNA,supplement,../../Downloads/CancerDatasets/GSE228499_breastHmCancer.h5ad,2,Breast; Human; Primary breast cancer (Han et al.)
GSE283205_hepatoblastomaCancer,GSE283205,scRNA,supplement,../../Downloads/CancerDatasets/GSE283205_hepatoblastomaCancer.h5ad,2,Liver; Human; Hepatoblastoma Wnt-MDK immune evasion (Münter et al.)
GSE120505_bloodAged,GSE120505,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE120505_bloodAged.h5ad,1,Blood; Mouse; Aging peripheral blood (Teo et al.)
GSE148215_hESCHSPCD8Hm,GSE148215,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE148215_hESCHSPCD8Hm.h5ad,1,Bone marrow; Human; Hematopoietic stem/progenitor cells (Zhu et al.)
GSE165844_LSKMmBatch,GSE165844,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE165844_LSKMmBatch.h5ad,1,Bone marrow; Mouse; LSK HSC transcriptional states (Fast)
GSE226131_HSCMmAged,GSE226131,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE226131_HSCMmAged.h5ad,1,Bone marrow; Mouse; HSC young vs aged mice (Cosgrove & Périe)
GSE253355_bmNicheHm,GSE253355,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE253355_bmNicheHm.h5ad,1,Bone marrow; Human; Bone marrow niche biogeography (Bandyopadhyay et al.)
bm_GSE120446,GSE120446,scRNA,supplement,../../Downloads/DevelopmentDatasets/bm_GSE120446.h5ad,1,Bone marrow; Human; Bone marrow scRNA-seq assessment (Dillon)
hemato,GSE255019,scRNA,supplement,../../Downloads/DevelopmentDatasets/hemato.h5ad,1,Bone marrow; Mouse; Age-progressive platelet differentiation from HSC (Poscablo et al. 2024)
ifnHSPC_GSE226824,GSE226824,scRNA,supplement,../../Downloads/DevelopmentDatasets/ifnHSPC_GSE226824.h5ad,1,Bone marrow; Mouse; IFNα-treated HSPCs time series (Demerdash et al.)
setty,PRJEB37166,scRNA,supplement,../../Downloads/DevelopmentDatasets/setty.h5ad,1,Bone marrow; Human; CD34+ hematopoiesis profiling (Setty)
irall,GSE277292,scRNA,CCVGAE3_IR,../scRL/IRALL.h5ad,1,Bone marrow; Mouse; LSK immunophenotype HSC in Dapp1 knockout mice (Fu et al.)
wtko,GSE278673,scRNA,supplement,scRL/wtko0312.h5ad,1,Bone marrow; Mouse; LSK immunophenotype HSC after irradiation day 2 (Fu et al.)
GSE167597_spineMm,GSE167597,scRNA,supplement,../../Downloads/GSE167597_spineMm.h5ad,2,Spinal cord; Mouse; Cholinergic neuron diversity spinal cord (Alkaslasi et al.)
dentate,GSE95753,scRNA,supplement,../../Downloads/dentate.h5ad,2,Brain; Mouse; Dentate gyrus development (Linnarsson)
GSE142653pitHmDev,GSE142653,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE142653pitHmDev.h5ad,2,Pituitary; Human; Pituitary developmental lineages (Zhang et al.)
GSE165784_RetinaHmDev,GSE165784,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE165784_RetinaHmDev.h5ad,2,Retina; Human; Diabetic retinopathy microglia (Yuan et al.)
GSE189070_astrocytesSCIMmDev,GSE189070,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE189070_astrocytesSCIMmDev.h5ad,2,Spinal cord; Mouse; Astrocyte heterogeneity after SCI (Hou et al.)
GSE213740_ADHm,GSE213740,scRNA,supplement,../../Downloads/GSE213740_ADHm.h5ad,2,Aorta; Human; Aortic dissection macrophage (Zhang et al.)
GSE192857_hESCHmTimes,GSE192857,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE192857_hESCHmTimes.h5ad,2,Stem cell; Human; hESC neuronal differentiation (Spildrejorde et al.)
hESC_GSE144024,GSE144024,scRNA,supplement,../../Downloads/DevelopmentDatasets/hESC_GSE144024.h5ad,2,Stem cell; Human; Human megakaryocyte development (Wang et al.)
GSE115571_LPSMmDev,GSE115571,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE115571_LPSMmDev.h5ad,2,Microglia; Mouse; LPS-stimulated microglia signatures (Sousa et al.)
GSE145929_ProgastinMmDev,GSE145929,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE145929_ProgastinMmDev.h5ad,2,Stomach; Mouse; Adult mouse progastrin intestinal (Joseph et al.)
GSE145929_UrineMmDev,GSE145929,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE145929_UrineMmDev.h5ad,2,Urinary tract; Mouse; Adult mouse lower urinary tract (Joseph et al.)
endo,GSE132188,scRNA,supplement,../../Downloads/endo.h5ad,2,Endoderm; Mouse; Pancreatic endocrinogenesis (Bastidas-Ponce et al.)
lung,GSE141259,scRNA,supplement,../../Downloads/lung.h5ad,2,Lung; Mouse; Bleomycin-induced lung injury (Simon & Schiller)
GSE130148_LungHmDev,GSE130148,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE130148_LungHmDev.h5ad,2,Lung; Human; Fresh resected human lung tissue (Simon & Schiller)
GSE275119_TeethMmDev,GSE275119,scRNA,supplement,../../Downloads/DevelopmentDatasets/GSE275119_TeethMmDev.h5ad,2,Teeth; Mouse; Tooth growth SFRP2hi fibroblasts (Zhao et al.)
GSE247719_PanSci_05_Muscle_adata,GSE247719,scRNA,supplement,../../Downloads/GSE247719_PanSci_05_Muscle_adata.h5ad,2,Muscle; Human; Panoramic cell dynamics mammalian aging - Muscle (Zhang et al.)
GSE247719_PanSci_T_cell_adata,GSE247719,scRNA,supplement,../../Downloads/GSE247719_PanSci_T_cell_adata.h5ad,2,Blood; Human; Panoramic cell dynamics mammalian aging - T cell (Zhang et al.)
CSD_1014,GSE255019,scRNA,CCVGAE1_SD,../../Desktop/CSD/1014.h5ad,1,Sleep deprivation case study; Mouse; not in 170-dataset benchmark
UCB_timeseries,N/A_UCBfiles,scRNA,CCVGAE2_UCB,../../Desktop/UCBfiles/CT+D4+D7+D11+D14/,1,UCB differentiation timeseries (D0/D4/D7/D11/D14); Human; case study not in benchmark
GSM7884550_D005_13_lobe_atac_filtered_peak_bc_matrix,GSE247157,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE247157/GSM7884550_D005_13_lobe_atac_filtered_peak_bc_matrix.h5,1,Retina; Human; Human retina genetic variant regulation (Chen et al.)
GSM7777061_2DG_filtered_peak_bc_matrix,GSE243004,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE243004/GSM7777061_2DG_filtered_peak_bc_matrix.h5,1,Blood; Human; Metabolic adaptation hematopoietic differentiation (Racine & Parmentier)
GSM7734716_MGH236_filtered_peak_bc_matrix,GSE241745,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE241745/GSM7734716_MGH236_filtered_peak_bc_matrix.h5,2,Brain; Human; IDH mutant gliomas chromatin (Wu et al.)
GSM8462143_AL05_ATAC_filtered_peak_bc_matrix,GSE274934,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE274934/GSM8462143_AL05_ATAC_filtered_peak_bc_matrix.h5,2,Lung; Human; ALK+ lung cancer tumor microenvironment (Baek et al.)
GSM6044073_2P_human_filtered_peak_bc_matrix,GSE200813,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE200813/GSM6044073_2P_human_filtered_peak_bc_matrix.h5,2,Liver; Human; PDX colorectal liver metastasis (Li et al.)
GSM6052783_P0_filtered_peak_bc_matrix,GSE201213,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE201213/GSM6052783_P0_filtered_peak_bc_matrix.h5,2,Skin; Mouse; Hair follicle morphogenesis (Li et al.)
GSM7777060_CTRL_filtered_peak_bc_matrix,GSE243004,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE243004/GSM7777060_CTRL_filtered_peak_bc_matrix.h5,1,Blood; Human; Metabolic adaptation hematopoietic differentiation (Racine & Parmentier)
GSM7884541_D027_13_lobe_atac_filtered_peak_bc_matrix,GSE247157,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE247157/GSM7884541_D027_13_lobe_atac_filtered_peak_bc_matrix.h5,1,Retina; Human; Human retina genetic variant regulation (Chen et al.)
GSM6044076_2LM_human_filtered_peak_bc_matrix,GSE200813,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE200813/GSM6044076_2LM_human_filtered_peak_bc_matrix.h5,2,Liver; Human; PDX colorectal liver metastasis (Li et al.)
GSM6449881_HD4_CD4CD25posT_scATAC_filtered_peak_bc_matrix,GSE211087,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE211087/GSM6449881_HD4_CD4CD25posT_scATAC_filtered_peak_bc_matrix.h5,1,Blood; Human; Regulatory T cell differentiation in tumors (Itahashi et al.)
GSM8546124_Control_filtered_peak_bc_matrix,GSE278419,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE278419/GSM8546124_Control_filtered_peak_bc_matrix.h5,2,Lung; Mouse; Pulmonary fibrosis RUNX2 alveolar fibroblasts (Xu et al.)
GSM5769461_Day5_DTR_U_filtered_peak_bc_matrix,GSE192947,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE192947/GSM5769461_Day5_DTR_U_filtered_peak_bc_matrix.h5,1,Inner ear; Mouse; Hearing regeneration zebrafish/mouse (Jimenez et al.)
GSM8546125_BLM_filtered_peak_bc_matrix,GSE278419,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE278419/GSM8546125_BLM_filtered_peak_bc_matrix.h5,2,Lung; Mouse; Pulmonary fibrosis RUNX2 alveolar fibroblasts (Xu et al.)
GSM7884540_D013_13_lobe_atac_filtered_peak_bc_matrix,GSE247157,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE247157/GSM7884540_D013_13_lobe_atac_filtered_peak_bc_matrix.h5,1,Retina; Human; Human retina genetic variant regulation (Chen et al.)
GSM6449878_NSCLC8_TIL_eTreg_scATAC_filtered_peak_bc_matrix,GSE211087,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE211087/GSM6449878_NSCLC8_TIL_eTreg_scATAC_filtered_peak_bc_matrix.h5,1,Blood; Human; Regulatory T cell differentiation in tumors (Itahashi et al.)
GSM5124061_PDX_390_vehicle_peak_bc_matrix,GSE168026,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE168026/GSM5124061_PDX_390_vehicle_peak_bc_matrix.h5,2,Breast; Human; FGFR inhibitor resistance breast cancer (Qiu et al.)
GSM7064217_19_D007_filtered_peak_bc_matrix,GSE226108,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE226108/GSM7064217_19_D007_filtered_peak_bc_matrix.h5,1,Retina; Human; Human retina multi-omics atlas (Chen et al.)
GSM8852348_MH_13-084-D12_filtered_feature_bc_matrix,GSE292194,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE292194/GSM8852348_MH_13-084-D12_filtered_feature_bc_matrix.h5,2,Prostate; Human; Lethal prostate cancer heterogeneity (Roudier et al.)
GSM7308369_Exp157DukeaBMTC_filtered_peak_bc_matrix,GSE232002,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE232002/GSM7308369_Exp157DukeaBMTC_filtered_peak_bc_matrix.h5,1,Blood; Mouse; Post-allo SCT innate lymphoid cells (Laurie et al.)
GSM7062447_D2_filtered_peak_bc_matrix,GSE226067,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE226067/GSM7062447_D2_filtered_peak_bc_matrix.h5,1,Blood; Mouse; Antigen-specific CD8 T cells LCMV (Liu & Dong)
GSM8462147_AL12_ATAC_filtered_peak_bc_matrix,GSE274934,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE274934/GSM8462147_AL12_ATAC_filtered_peak_bc_matrix.h5,2,Lung; Human; ALK+ lung cancer tumor microenvironment (Baek et al.)
GSM8462145_AL10_ATAC_filtered_peak_bc_matrix,GSE274934,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE274934/GSM8462145_AL10_ATAC_filtered_peak_bc_matrix.h5,2,Lung; Human; ALK+ lung cancer tumor microenvironment (Baek et al.)
GSM8517035_scATAC_P28_Dlx_ALM_rep1_filtered_peak_bc_matrix,GSE277242,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE277242/GSM8517035_scATAC_P28_Dlx_ALM_rep1_filtered_peak_bc_matrix.h5,1,Brain; Mouse; Enhancer-AAV interneuron subtypes P28 (Min Dai)
GSM6783752_d20-p200_filtered_peak_bc_matrix,GSE220026,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE220026/GSM6783752_d20-p200_filtered_peak_bc_matrix.h5,2,Stem cell; Human; hESC paracetamol exposure (Spildrejorde et al.)
GSM8685152_TK64_filtered_feature_bc_matrix,GSE284492,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE284492/GSM8685152_TK64_filtered_feature_bc_matrix.h5,1,Brain; Mouse; Hypothalamic neuron development (Kim & Blackshaw)
GSM7064214_19_D003_filtered_peak_bc_matrix,GSE226108,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE226108/GSM7064214_19_D003_filtered_peak_bc_matrix.h5,1,Retina; Human; Human retina multi-omics atlas (Chen et al.)
GSM5769453_WT_S_filtered_peak_bc_matrix,GSE192947,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE192947/GSM5769453_WT_S_filtered_peak_bc_matrix.h5,1,Inner ear; Mouse; Hearing regeneration zebrafish/mouse (Jimenez et al.)
GSM7884543_D030_13_macular_atac_filtered_peak_bc_matrix,GSE247157,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE247157/GSM7884543_D030_13_macular_atac_filtered_peak_bc_matrix.h5,1,Retina; Human; Human retina genetic variant regulation (Chen et al.)
GSM6052781_E13,GSE201213,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE201213/GSM6052781_E13.h5,2,Skin; Mouse; Hair follicle morphogenesis (Li et al.)
GSM8248669_8WKs_NegBCG_filtered_peak_bc_matrix,GSE266511,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE266511/GSM8248669_8WKs_NegBCG_filtered_peak_bc_matrix.h5,1,Blood; Human; BCG vaccine immune response
GSM7734712_MGH230_filtered_peak_bc_matrix,GSE241745,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE241745/GSM7734712_MGH230_filtered_peak_bc_matrix.h5,2,Brain; Human; IDH mutant gliomas chromatin (Wu et al.)
GSM7884545_D021_13_lobe_atac_filtered_peak_bc_matrix,GSE247157,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE247157/GSM7884545_D021_13_lobe_atac_filtered_peak_bc_matrix.h5,1,Retina; Human; Human retina genetic variant regulation (Chen et al.)
GSM8900550_sample3_ATAC_filtered_peak_bc_matrix,GSE294221,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE294221/GSM8900550_sample3_ATAC_filtered_peak_bc_matrix.h5,2,Lung; Human; Cigarette smoking lung epithelial response (Cha et al.)
GSM8900548_sample1_ATAC_filtered_peak_bc_matrix,GSE294221,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE294221/GSM8900548_sample1_ATAC_filtered_peak_bc_matrix.h5,2,Lung; Human; Cigarette smoking lung epithelial response (Cha et al.)
GSM7884549_D009_13_lobe_atac_filtered_peak_bc_matrix,GSE247157,scATAC,supplement,/home/zeyufu/Desktop/scATAC-25100/GSE247157/GSM7884549_D009_13_lobe_atac_filtered_peak_bc_matrix.h5,1,Retina; Human; Human retina genetic variant regulation (Chen et al.)
