filename_key,modality,claimed,actual,reason
GSE115571_LPSMmDev,scrna,mouse,mouse,riken_498
GSE117988_MCCPBMCCancer,scrna,human,human,symbol_upper_493v7
GSE120505_bloodAged,scrna,human,mouse,riken_21
GSE123813_bccHmCancer,scrna,human,human,symbol_upper_491v9
GSE123902_LungAdreHmCancer,scrna,human,human,symbol_upper_498v0
GSE124310_MMHmCancer,scrna,human,human,symbol_upper_491v9
GSE130148_LungHmDev,scrna,human,human,symbol_upper_500v0
GSE130646_muscleHm,scrna,human,human,symbol_upper_489v11
GSE132509_acutelymluekPBMCHmCancer,scrna,human,human,symbol_upper_491v9
GSE138709_LiverCancer,scrna,human,human,symbol_upper_490v10
GSE142653pitHmDev,scrna,human,human,symbol_upper_500v0
GSE143423_lbm_CancerBrainHm,scrna,human,human,symbol_upper_489v11
GSE145929_ProgastinMmDev,scrna,mouse,mouse,riken_41
GSE148215_hESCHSPCD8Hm,scrna,human,human,ensembl_human
GSE148218_bmALLHmCancer,scrna,human,human,symbol_upper_484v15
GSE149655_CAHmCancer,scrna,human,human,symbol_upper_494v6
GSE155109_bcECHmCancer,scrna,human,human,symbol_upper_491v9
GSE165784_RetinaHmDev,scrna,human,human,symbol_upper_496v3
GSE165844_LSKMmBatch,scrna,mouse,mouse,riken_43
GSE167597_spineMm,scrna,mouse,mouse,riken_31
GSE168181_BreastHmCancer,scrna,human,mouse,riken_41
GSE183904_GastricHmCancer,scrna,human,human,symbol_upper_496v4
GSE189070_astrocytesSCIMmDev,scrna,mouse,mouse,riken_42
GSE189357_lungAdreHmCancer,scrna,human,human,symbol_upper_494v6
GSE192857_hESCHmTimes,scrna,human,human,symbol_upper_494v6
GSE213740_ADHm,scrna,human,human,symbol_upper_494v6
GSE222002_TcellsHmCancer,scrna,human,mouse,riken_40
GSE222369_NKsLymphomaHmCancer,scrna,human,human,symbol_upper_494v6
GSE225600_breast_CancerHm,scrna,human,human,symbol_upper_494v6
GSE225857_liverColonMetasisHmCancer,scrna,human,human,symbol_upper_490v10
GSE226131_HSCMmAged,scrna,mouse,mouse,riken_41
GSE228499_breastHmCancer,scrna,human,human,symbol_upper_493v7
GSE235787_bcellsALLHmCancer,scrna,human,human,symbol_upper_490v10
GSE247719_PanSci_05_Muscle_adata,scrna,human,mouse,ensembl_musmus
GSE253355_bmNicheHm,scrna,human,human,symbol_upper_494v6
GSE255019_hematoMmAged,scrna,mouse,mouse,riken_40
GSE262288_breastMetasisHmCancer,scrna,human,human,symbol_upper_494v6
GSE275119_TeethMmDev,scrna,mouse,mouse,riken_41
GSE283205_hepatoblastomaCancer,scrna,human,human,symbol_upper_490v10
GSE98638_TcellLiverHmCancer,scrna,human,human,symbol_upper_480v15
bm_GSE120446,scrna,human,human,symbol_upper_491v9
dentate,scrna,human,mouse,riken_43
endo,scrna,human,mouse,riken_43
endo_GSE84133,scrna,human,human,symbol_upper_500v0
hESC_GSE144024,scrna,human,human,symbol_upper_495v5
ifnHSPC_GSE226824,scrna,human,mouse,riken_42
lung,scrna,human,mouse,riken_500
setty,scrna,human,human,symbol_upper_488v12
GSE174367_snATAC-seq_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSE198730_aPSM_scATAC_rep1_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSE198730_naive_ESC_scATAC_rep1_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSE206767_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM5124061_PDX_390_vehicle_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM5342788_scB_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM5402770_P115L1mutP_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM5402771_NF_2-004_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM5766892_d0-ctrl_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM5766893_d20-ctrl_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM5769453_WT_S_filtered_peak_bc_matrix,scatac,human,unknown,no_analyzable
GSM5769456_DTR_S_filtered_peak_bc_matrix,scatac,human,unknown,no_analyzable
GSM5769460_Day5_DTR_S_filtered_peak_bc_matrix,scatac,human,unknown,no_analyzable
GSM5769461_Day5_DTR_U_filtered_peak_bc_matrix,scatac,human,unknown,no_analyzable
GSM5769462_Day7_DTR_S_filtered_peak_bc_matrix,scatac,human,unknown,no_analyzable
GSM5769463_Day7_DTR_U_filtered_peak_bc_matrix,scatac,human,unknown,no_analyzable
GSM5975165_Arm_d60_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM5975166_Arm_d200_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6044072_1P_human_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6044073_2P_human_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6044075_1LM_human_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6044076_2LM_human_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6044077_4LM_human_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6052781_E13,scatac,human,unknown,atac_chr_uncertain_max1
GSM6052782_E16,scatac,human,unknown,atac_chr_uncertain_max1
GSM6052783_P0_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6214534_2_CLPL_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6214535_4_SI_IEL_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6449878_NSCLC8_TIL_eTreg_scATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6449879_NSCLC14_NormalLung_TregandCD8posT_scATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6449880_HD4_PBMC_eTreg_scATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6449881_HD4_CD4CD25posT_scATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6449882_HD4_PBMC_nTreg_scATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6638254_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6783751_d20-p100_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM6783752_d20-p200_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7056609_HP_20210331_MONOS_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7062446_Naive_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7062447_D2_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7062448_D8-1_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7062449_D8-2_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7062450_D180_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7064214_19_D003_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7064215_19_D005_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7064216_19_D006_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7064217_19_D007_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7308367_Exp157DukeaBMTB_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7308369_Exp157DukeaBMTC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7734290_Naive_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7734291_D2_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7734292_D8_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7734711_MGH227_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7734712_MGH230_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7734713_MGH231_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7734714_MGH232_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7734715_MGH234_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7734716_MGH236_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7734717_MGH239_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7777060_CTRL_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7777061_2DG_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7777062_DON_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7777063_AOA_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7884540_D013_13_lobe_atac_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7884541_D027_13_lobe_atac_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7884543_D030_13_macular_atac_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7884545_D021_13_lobe_atac_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7884549_D009_13_lobe_atac_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM7884550_D005_13_lobe_atac_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8248668_4WKs_LN_neg_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8248669_8WKs_NegBCG_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8248670_8WKs_PosBCG_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8248672_370_neg_BCG_8wk_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8248673_374_AS01_8wk_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8248674_373_pos_BCG_8wk_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8248675_372_neg_BCG_16wk_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8248676_376_AS01_16wk_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8397466_WT1_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8397467_WT2_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8462143_AL05_ATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8462144_AL08_ATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8462145_AL10_ATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8462146_AL11_ATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8462147_AL12_ATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8517035_scATAC_P28_Dlx_ALM_rep1_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8546124_Control_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8546125_BLM_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8685152_TK64_filtered_feature_bc_matrix,scatac,human,mouse,riken_41
GSM8685155_TKX_filtered_feature_bc_matrix,scatac,human,mouse,riken_41
GSM8685177_TKC7_filtered_feature_bc_matrix,scatac,human,mouse,riken_41
GSM8729707_filtered_peak_bc_matrix_cellrangerGenome,scatac,human,unknown,atac_chr_uncertain_max1
GSM8852347_MH_07_042_M2_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8852348_MH_13-084-D12_filtered_feature_bc_matrix,scatac,human,human,symbol_upper_494v6
GSM8852349_MH_13_084_D13_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8900548_sample1_ATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8900549_sample2_ATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8900550_sample3_ATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8900551_sample4_ATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8900552_sample5_ATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8900553_sample6_ATAC_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSM8997246_Sample1_filtered_peak_bc_matrix,scatac,human,unknown,atac_chr_uncertain_max1
GSE185538_new,scrna,mouse,unknown,ambiguous_t311_u187
GSE130430_new,scrna,mouse,human,symbol_upper_484v15
GSE155249_new,scrna,human,mouse,symbol_title_500v0
GSE205506_new,scrna,human,human,symbol_upper_494v6
GSE139324_new,scrna,human,human,symbol_upper_491v9
GSE167118_new,scrna,mouse,human,symbol_upper_494v6
GSE162454_new,scrna,human,human,symbol_upper_494v6
GSE145926_new,scrna,human,human,symbol_upper_494v6
GSE166635_new,scrna,mouse,human,symbol_upper_491v9
GSE163558_new,scrna,human,human,symbol_upper_494v6
GSE164378_new,scrna,human,human,symbol_upper_494v6
GSE149689_new,scrna,human,human,symbol_upper_494v6
GSE151530_new,scrna,human,human,symbol_upper_491v9
GSE158803_new,scrna,human,human,symbol_upper_494v6
GSE163484_new,scrna,mouse,mouse,riken_41
GSE175814_new,scrna,human,human,symbol_upper_494v6
GSE181061_new,scrna,human,human,symbol_upper_494v6
GSE186344_new,scrna,human,human,symbol_upper_491v9
GSE197177_new,scrna,human,human,symbol_upper_494v6
GSE213337_new,scrna,human,mouse,riken_41
GSE235063_new,scrna,human,human,symbol_upper_494v6
GSE139555_new,scrna,human,human,symbol_upper_490v7
GSE149655_new,scrna,human,human,symbol_upper_494v6
GSE154778_new,scrna,human,human,symbol_upper_494v6
GSE181388_new,scrna,mouse,human,symbol_upper_494v6
GSE188676_new,scrna,mouse,mouse,riken_40
GSE125449_new,scrna,human,human,symbol_upper_493v7
GSE128033_new,scrna,human,human,symbol_upper_491v9
GSE138794_new,scrna,human,human,symbol_upper_491v9
GSE159519_new,scrna,human,human,symbol_upper_492v8
GSE161277_new,scrna,mouse,human,symbol_upper_494v6
GSE173193_new,scrna,human,human,symbol_upper_494v6
GSE190604_new,scrna,human,human,symbol_upper_494v6
GSE120926_new,scrna,human,human,symbol_upper_478v22
GSE189357_new,scrna,human,human,symbol_upper_494v6
GSE208074_new,scrna,human,human,symbol_upper_492v7
GSE220297_new,scrna,human,human,symbol_upper_496v4
GSE220840_new,scrna,human,human,symbol_upper_494v6
GSE260778_new,scrna,human,human,symbol_upper_491v9
GSE264586_new,scrna,human,human,symbol_upper_494v6
GSE270891_new,scrna,human,human,symbol_upper_494v6
GSE273423_new,scrna,human,human,symbol_upper_494v6
GSE274905_new,scrna,human,human,symbol_upper_494v6
GSE279264_new,scrna,human,human,symbol_upper_494v6
GSE280258_new,scrna,human,human,symbol_upper_494v6
GSE280767_new,scrna,human,human,symbol_upper_494v6
GSE283554_new,scrna,human,human,symbol_upper_494v6
GSE193807_new,scrna,human,human,symbol_upper_494v6
GSE216673_new,scrna,human,human,symbol_upper_494v6
GSE232938_new,scrna,human,human,symbol_upper_494v6
GSE253936_new,scrna,human,human,symbol_upper_494v6
GSE272457_new,scrna,human,mouse,symbol_title_500v0
